Project,InitialCost_Lakhs,ROI_Percent,RiskScore,Payback_Months,StrategicFit,MarketPotential
AI_Customer_Support,18,24,4,10,9,8
Luxury_Skincare_Launch,35,30,6,14,10,9
Inventory_Automation,22,20,3,9,8,7
Offline_Experience_Store,50,28,8,18,9,9
Influencer_Marketing_Campaign,12,18,5,6,7,8
Premium_Packaging_Upgrade,15,16,2,8,8,7
Virtual_TryOn_Tech,30,27,7,15,9,9
Subscription_Membership_Model,20,22,4,11,10,8
Export_To_UAE_Market,45,32,7,16,9,10
New_Warehouse_Setup,40,19,5,20,7,8
Mobile_App_Development,25,21,4,12,9,8
Retail_PopUp_Collaboration,28,23,6,13,8,9
CRM_Loyalty_System,16,20,3,9,9,8
Organic_Sourcing_Program,26,18,3,14,8,7
Salon_Partnership_Program,24,25,5,12,8,9
